"loinc", "TFC", "TestName"
16135-6,B2GG,Beta-2-glycoprotein 1 IgG
16135-6,B2GG,Beta-2-glycoprotein 1 IgG
16135-6,B2GG,Beta-2-glycoprotein 1 IgG
32731-2,B2GL,Beta-2-globulins
16136-4,B2GM,Beta-2-glycoprotein 1 IgM
16136-4,B2GM,Beta-2-glycoprotein 1 IgM
16136-4,B2GM,Beta-2-glycoprotein 1 IgM
43914-1,B2GP,Anti B2GP1 Ab
14626-6,B2M,Beta-2-microglobulin
1952-1,B2M,Beta-2-microglobulin
14626-6,B2MG,Serum Beta 2 Microglobulin
14626-6,B2MG,Serum Beta 2 Microglobulin
14626-6,B2MG,Serum Beta 2 Microglobulin
14626-6,B2MG,Serum Beta 2 Microglobulin
44726-8,B51,B51 Tissue Typing
44726-8,B51,B51 Tissue Typing
704-7,BA,Blood agar plate
14628-2,BA,Blood agar plate
10347-3,BA1,Back of form DAY 1:
6463-4,BABC,Culture & Sensitivity Report
43926-5,BABE,Babesia Antibodies
43926-5,BABE,Babesia Antibodies
21821-4,BABL,BCR /ABL
10647-6,BABP,Babesia Parasites
14628-2,BACD,Bile acids
43866-3,BACM,Comment:
22110-1,BAHG,Bartonella henselae IgG
22670-4,BALL,Blood Spot Allo-Leucine
17838-4,BALP,Bone ALP
9360-9,BAQG,Bartonella quintana IgG
22110-1,BAR2,One sample multiple OCS
19270-8,BARB,Urine barbiturates
19270-8,BARB,Urine barbiturates
19270-8,BARB,Urine barbiturates
43866-3,BART,Bartonella (cat scratch)Ab
704-7,BASO," Basophils"
704-7,BASO," Basophils"
704-7,BASO," Basophils"
704-7,BASO," Basophils"
704-7,BASO," Basophils"
32554-8,BB1,Blood Vitamin B1 (Thiamine)
73723-9,BB2,Blood Vitamin B2
14628-2,BBAP,Blood bile acid profile
LOC_ESO,BBCK,CK BB
8251-1,BBCO,Comment
600-7,BC5A,Anaerobic bottle Result
600-7,BC5A,Anaerobic bottle Result
600-7,BC5A,Anaerobic bottle Result
600-7,BC5D,Blood Culture Report
600-7,BC5D,Blood Culture Report
600-7,BC5D,Blood Culture Report
600-7,BC5O,Aerobic bottle  Result
600-7,BC5O,Aerobic bottle  Result
600-7,BC5O,Aerobic bottle  Result
14288-5,BCAR,Blood Carnitine
664-3,BCG,Gram stain aerobic bottle:
664-3,BCG,Gram stain aerobic bottle:
664-3,BCG,Gram stain aerobic bottle:
664-3,BCG2,Gram stain anaerobic bottle:
664-3,BCG2,Gram stain anaerobic bottle:
664-3,BCG2,Gram stain anaerobic bottle:
664-3,BCGP,Gram stain paediatric bottle:
664-3,BCGP,Gram stain paediatric bottle:
8251-1,BCMM,Comment
24113-3,BCMR,Anti-HBcore IgM
21821-4,BCR,Breast Cancer Specific Gene
39783-6,BCR,Breast Cancer Specific Gene
59041-4,BCR,Breast Cancer Specific Gene
74041-5,BCRA,Aerobic Interim culture
21821-4,BCRA,Aerobic Interim culture
600-7,BCRA,Aerobic Interim culture
600-7,BCRA,Aerobic Interim culture
600-7,BCRA,Aerobic Interim culture
600-7,BCRN,Anaerobic Interim culture
42216-2,BCRN,Anaerobic Interim culture
600-7,BCRN,Anaerobic Interim culture
600-7,BCRP,Paediatric Interim culture
600-7,BCRP,Paediatric Interim culture
42176-8,BDG,Beta D Glucan
42176-8,BDG,Beta D Glucan
42595-9,BDNA,Hepatitis B DNA Viral load
14642-3,BEC,Beta carotene
14316-4,BENS,Urine benzodiazepines
14316-4,BENS,Urine benzodiazepines
14316-4,BENS,Urine benzodiazepines
3185-6,BETH,Bethesda Assay
5909-7,BF,BODY FLUID CULTURE
611-4,BFC,Culture & Sensitivity Report
611-4,BFC,Culture & Sensitivity Report
6825-4,BFCR,Crystals
664-3,BFM,Gram stain
27112-2,BFM,Gram stain
6741-3,BFR,RBC/cmm
6741-3,BFR,RBC/cmm
24009-3,BFUN,Fungal culture
24009-3,BFUN,Fungal culture
26466-3,BFW,WBC/cmm
26466-3,BFW,WBC/cmm
14749-6,BG10,270 min Glucose
14749-6,BG11,300 min Glucose
24061-4,BGAL,Beta Galactosidase
32366-7,BGEN,Hep B Genotype
32366-7,BGEN,Hep B Genotype
32366-7,BGEN,Hep B Genotype
79276-2,BH2,CSF Dihydrobiopterin
59247-7,BH4,CSF Tetrahydrobiopterin
45194-8,BHCG,Total Beta-hCG
45194-8,BHCG,Total Beta-hCG
45194-8,BHCG,Total Beta-hCG
14628-2,BILE,Bile Acids
14628-2,BILE,Bile Acids
14628-2,BILE,Bile Acids
20648-2,BILE,Bile Acids
14631-6,BILI,Bilirubin
14631-6,BILI,Bilirubin
14631-6,BILI,Bilirubin
14631-6,BILI,Bilirubin
14631-6,BILI,Bilirubin
1980-2,BIOS,Biotin (Vitamin H)
1980-2,BIOS,Biotin (Vitamin H)
1982-8,BIOT,BIOTINIDASE
1982-8,BIOT,BIOTINIDASE
1982-8,BIOT,BIOTINIDASE
1982-8,BIOT,BIOTINIDASE
1982-8,BIOT,BIOTINIDASE
600-7,BISO,Bone  isoenzymes
1928-1,BJP,Urine Bence Jones protein
14895-7,BJPF,Urine Protein Immunofixation
2888-6,BJTP,Total Protein (Urine)
30376-8,BLAA,Blasts
30376-8,BLAS," Blast cells   *"
747-6,BLAS," Blast cells   *"
20649-0,BLEU,Blood Spot Leucine
888-8,BLG1,Blood Group
13941-0,BLYM,B-LYMPHOID MARKERS
13513-7,BMFE,Bone Marrow Iron stain
13513-7,BMFE,Bone Marrow Iron stain
33763-4,BNP,NT-Pro BNP (ANALYSER VALUE)
33763-4,BNP,NT-Pro BNP (ANALYSER VALUE)
33762-6,BNP,NT-Pro BNP (ANALYSER VALUE)
33763-4,BNP,NT-Pro BNP (ANALYSER VALUE)
33763-4,BNP,NT-Pro BNP (ANALYSER VALUE)
33763-4,BNP,NT-Pro BNP (ANALYSER VALUE)
33762-6,BNPN,NT-Pro BNP
33762-6,BNPN,NT-Pro BNP
33762-6,BNPT,NT-Pro BNP
33762-6,BNPT,NT-Pro BNP
33762-6,BNPT,NT-Pro BNP
33762-6,BNPT,NT-Pro BNP
29674-9,BOCM,Comment
62424-7,BOCP,Bocavirus DNA
6873-4,BOHB,Beta-Hydroxybutyrate
4991-6,BOR,Borrelia Burgdorferi DNA
31739-6,BOR1,B.burgdorferi IgM ELISA
11006-4,BORC,Borrelia ab's Immunblot
11006-4,BORC,Borrelia ab's Immunblot
11006-4,BORC,Borrelia ab's Immunblot
4991-6,BORF,Borrelia Burgdorferi DNA Fluid
5062-5,BORR,B.burgdorferi IgG/M (ELISA)
5062-5,BORR,B.burgdorferi IgG/M (ELISA)
34664-3,BOTA,PLEASE NOTE
10351-5,BPCR,HIV-1 VIRAL LOAD
21021-1,BPGR,Gram stain
21021-1,BPGR,Gram stain
14875-9,BPHE,Blood Spot Phenylalanine
43441-5,BPUC,Culture & Sensitivity Report
43441-5,BPUC,Culture & Sensitivity Report
30202-6,BR,Brucella Serology
22147-3,BRAB,B.abortus Antibodies
30202-6,BRC2,Comment
59041-4,BRCA,BRCA 1 and 2 (Urgent)
59041-4,BRCA,BRCA 1 and 2 (Urgent)
63465-9,BRCS,Brucella PCR - CSF
22931-0,BRME,B.melitensis Antibodies
14910-4,BSER,Blood Serotonin
14914-6,BTES,Testosterone - Bioavailable
6891-6,BTES,Testosterone - Bioavailable
46767-0,BTH,Beta Thalassaemia
3178-1,BTIM,BLEEDING TIME
20660-7,BTYR,Blood Spot Tyrosine
22664-7,BUN,Blood Urea Nitrogen
20661-5,BVAL,Blood Spot Valine
42595-9,BVL1,Hepatitis B DNA
42595-9,BVL1,Hepatitis B DNA
42595-9,BVL2,Hepatitis B DNA
42595-9,BVL2,Hepatitis B DNA
8122-4,C100,Total T cells CD3
24467-3,C103,Helper Cells CD3/4
54218-3,C104,Suppressor T cells CD3/8
731-0,C105,Absolute Lymphocyte Count
14675-3,C120,Cortisol (120 minutes)
10334-1,C125,CA125
10334-1,C125,CA125
10334-1,C125,CA125
10334-1,C125,CA125
10334-1,C125,CA125
6875-9,C153,CA15-3
6875-9,C153,CA15-3
6875-9,C153,CA15-3
6875-9,C153,CA15-3
6875-9,C153,CA15-3
24108-3,C199,CA19-9
24108-3,C199,CA19-9
24108-3,C199,CA19-9
24108-3,C199,CA19-9
24108-3,C199,CA19-9
8117-4,C19P,CD19 (Percentage)
8117-4,C19P,CD19 (Percentage)
4477-6,C1E2,C1 Esterase Inhibitor
48494-9,C1EA,C1 esterase inhibitor activity
4477-6,C1EI,C1 Esterase Inhibitor
4477-6,C1EI,C1 Esterase Inhibitor
48494-9,C1EI,C1 Esterase Inhibitor
4477-6,C1EP,C1 esterase inhibitor protein
4477-6,C1EP,C1 esterase inhibitor protein
4477-6,C1ES,C1 Esterase inhibitor
4478-4,C1Q,Anti-C1q antibodies
LOC_ESO,C1QA,Anti C1Q antibodies
4484-2,C2,C2 COMPLEMENT
4484-2,C2,C2 COMPLEMENT
4484-2,C2,C2 COMPLEMENT
30194-5,C22,C22
30195-2,C24,C24
14675-3,C240,Cortisol (240 minutes)
30197-8,C26,C26
4491-7,C3,Complement C3
4491-7,C3,Complement C3
4491-7,C3,Complement C3
4491-7,C3,Complement C3
4491-7,C3,Complement C3
34596-7,C3MD,CSF 3-Methyl DOPA
LOC_ESO,C3NF,C3-Nephritic factor
38387-7,C3NF,C3-Nephritic factor
4498-2,C4,Complement C4
4498-2,C4,Complement C4
4498-2,C4,Complement C4
4498-2,C4,Complement C4
4498-2,C4,Complement C4
14113-5,C56X,CD56 (Percentage)
8133-1,C56X,CD56 (Percentage)
47544-2,C5HI,CSF 5-Hydroxyindoleacetic acid
47547-5,C5MT,CSF 5-methyltetrahydrofolate
4507-0,C6,Complement C6
3344-9,C6,Complement C6
17843-4,C724,CA 72-4 Tumour Marker
4509-6,C8,Complement C8
4510-4,C9,Complement C9
2000-8,CA,Calcium
2000-8,CA,Calcium
2000-8,CA,Calcium
2000-8,CA,Calcium
2000-8,CA,Calcium
2000-8,CA,Calcium
34256-8,CA50,CA50 Tumour Marker
53981-7,CAB,Anti-B
53981-7,CAB,Anti-B
12480-0,CACE,CSF ACE
24518-3,CACR,Calcium / Creatinine ratio
24518-3,CACR,Calcium / Creatinine ratio
24518-3,CACR,Calcium / Creatinine ratio
24518-3,CACR,Calcium / Creatinine ratio
24518-3,CACR,Calcium / Creatinine ratio
LOC_ESOGEN,CADA,Cadasil Gene
15117-5,CADM,Cadmium  (blood)
LOC_ESO,CADP," Collagen / ADP"
24472-3,CADP," Collagen / ADP"
47600-2,CAER,Serum Caeruloplasmin (func)
59564-5,CAFP,Alpha Feto Protein - CSF
59564-5,CAFP,Alpha Feto Protein - CSF
9820-2,CAG,Cryptococcal Antigen (blood)
32672-8,CAGG,Cold Agglutinins
32672-8,CAGG,Cold Agglutinins
43068-6,CAJA,Campylobacter jejuni IgA
69575-9,CAJA,Campylobacter jejuni IgA
45325-8,CAJG,Campylobacter jejuni IgG
69575-9,CAJG,Campylobacter jejuni IgG
45134-4,CAJM,Campylobacter jejuni IgM
69575-9,CAJM,Campylobacter jejuni IgM
22657-1,CALA,CSF Alanine
38445-3,CALP,Calprotectin (Faecal)
38445-3,CALP,Calprotectin (Faecal)
38445-3,CALP,Calprotectin (Faecal)
38445-3,CALP,Calprotectin (Faecal)
77174-1,CALR,Gene Test - CALR
77174-1,CALR,Gene Test - CALR
LOC_ESO,CAMR,Specimen tested by:
56151-4,CANA,Candida albicans IgA
554-6,CAND,Candida Antibodies
7172-0,CANG,Candida albicans IgG
7172-0,CANG,Candida albicans IgG
56150-6,CANM,Candida albicans IgM
56150-6,CANM,Candida albicans IgM
32157-0,CAOX,Calcium oxalate
31201-7,CAPI,VIDAS HIV DUO
31201-7,CAPI,VIDAS HIV DUO
56888-1,CAPI,VIDAS HIV DUO
56888-1,CAPI,VIDAS HIV DUO
10333-3,CAPP,CSF appearance
10333-3,CAPP,CSF appearance
14639-9,CARB,Carbamazepine
14639-9,CARB,Carbamazepine
19146-0,CARB,Carbamazepine
22656-3,CARG,CSF Arginine
14639-9,CARM,Anti-Cardiac Muscle Ab
14288-5,CARN,Carnitine - Free and Total
LOC_ESO,CARN,Carnitine - Free and Total
42216-2,CARN,Carnitine - Free and Total
LOC_ESO,CARO,Beta Carotene
14642-3,CARO,Beta Carotene
14642-3,CARO,Beta Carotene
60492-6,CARP,Gene:Pan-Cardiomyopathy panel
LOC_ESO,CART,CART
LOC_ESO,CART,CART
72224-9,CASP,CSF Aspergillus PCR
45190-6,CASR,Gene Test - CASR
24124-0,CAST,Sample type
43866-3,CAT,Catalase
LOC_HIST,CAT1,Histology
LOC_HIST,CAT1,Histology
LOC_HIST,CATA,Histology (Cat A)
59787-2,CATE,_PLASMA CATECHOLAMINES_
1992-7,CATO,Calcitonin
1992-7,CATO,Calcitonin
1992-7,CATO,Calcitonin
1992-7,CATO,Calcitonin
38191-3,CAU,Ammonium urate
14637-3,CAX,Urine calcium output
3033-8,CBG,Cortisol Binding Globulin
20563-3,CBHB,Carboxyhaemoglobin
14629-0,CBIL,Bilirubin (conjugated)
14629-0,CBIL,Bilirubin (conjugated)
21821-4,CBMA,CHROMOSOMES BCR/ABL
LOC_ESO,CBOR,CSF B.burgdorferi IgG/M(ELISA)
29265-6,CCA,Adjusted Calcium
29265-6,CCA,Adjusted Calcium
29265-6,CCA,Adjusted Calcium
29265-6,CCA,Adjusted Calcium
29265-6,CCA,Adjusted Calcium
41201-5,CCAB,Calcium Channel Abs
30073-1,CCAB,Calcium Channel Abs
32137-2,CCAP,Calcium phosphate
32156-2,CCAR,Calcium carbonate
24518-3,CCCR,Urine Ca-Creat Clearance Ratio
24518-3,CCCR,Urine Ca-Creat Clearance Ratio
24518-3,CCCR,Urine Ca-Creat Clearance Ratio
22654-8,CCIT,CSF Citrulline
9796-4,CCOL,Colour
9797-2,CCON,Consistency
32218-0,CCP,Anti-CCP
32218-0,CCP,Anti-CCP
32218-0,CCP,Anti-CCP
32218-0,CCP,Anti-CCP
32218-0,CCP,Anti-CCP
53028-7,CCP,Anti-CCP
2164-2,CCR,Cystatin C (Refs)
22653-0,CCY2,CSF Cystine
32138-0,CCYS,Cystine
15117-5,CD,Cadmium
8115-8,CD16,CD16 (Percentage)
8115-8,CD16,CD16 (Percentage)
8115-8,CD16,CD16 (Percentage)
8115-8,CD16,CD16 (Percentage)
8115-8,CD16,CD16 (Percentage)
15195-1,CD19,CD19 (Absolute value)
15195-1,CD19,CD19 (Absolute value)
15195-1,CD19,CD19 (Absolute value)
15195-1,CD19,CD19 (Absolute value)
8119-0,CD20,CD20 (Absolute value)
8120-8,CD21,CD21 (Absolute value)
8122-4,CD3,Total T cells CD3
8122-4,CD3,Total T cells CD3
8122-4,CD3,Total T cells CD3
8124-0,CD3%,% Total T cells
8124-0,CD3%,% Total T cells
24467-3,CD4,Helper Cells CD3/4
24467-3,CD4,Helper Cells CD3/4
24467-3,CD4,Helper Cells CD3/4
8123-2,CD4%,% Helper T cells
8123-2,CD4%,% Helper T cells
20605-2,CD4A,CD4
20605-2,CD4A,CD4
26573-6,CD4P,CD4 percentage
9559-6,CD5,CD5  (Absolute value)
9559-6,CD5,CD5  (Absolute value)
9559-6,CD5,CD5  (Absolute value)
14113-5,CD56,CD56 (Absolute value)
8133-1,CD56,CD56 (Absolute value)
14113-5,CD56,CD56 (Absolute value)
17177-7,CD59,CD59 for PNH screen
8132-3,CD5X,CD5  (Percentage)
8133-1,CD5X,CD5  (Percentage)
8132-3,CD5X,CD5  (Percentage)
8132-3,CD5X,CD5  (Percentage)
8112-5,CD69,CD69
8101-8,CD8,Suppressor T cells CD3/8
8101-8,CD8,Suppressor T cells CD3/8
8101-8,CD8,Suppressor T cells CD3/8
14135-8,CD8%,% Suppressor T cells
14135-8,CD8%,% Suppressor T cells
8122-4,CD8A,CD8
8122-4,CD8A,CD8
8101-8,CD8P,CD8 percentage
48495-6,CDT,CHO deficient Transferrin
48495-6,CDT,CHO deficient Transferrin
48495-6,CDT,CHO deficient Transferrin
48495-6,CDT,CHO deficient Transferrin
48495-6,CDT,CHO deficient Transferrin
8117-4,CDX,CD19 (Percentage)
8117-4,CDX,CD19 (Percentage)
8117-4,CDX,CD19 (Percentage)
LOC_ESO,CE," Collagen / Epinephrine"
49316-3,CE," Collagen / Epinephrine"
2039-6,CEA,CEA
2039-6,CEA,CEA
2039-6,CEA,CEA
2039-6,CEA,CEA
2039-6,CEA,CEA
2039-6,CEA,CEA
LOC_ESO,CELL,Cell Markers
53981-7,CENT,Anti-Centromere Ab
53981-7,CENT,Anti-Centromere Ab
53981-7,CENT,Anti-Centromere Ab
47600-2,CERC,Endocervical culture
47600-2,CERU,Caeruloplasmin
47600-2,CERU,Caeruloplasmin
47600-2,CERU,Caeruloplasmin
47600-2,CERU,Caeruloplasmin
47600-2,CERU,Caeruloplasmin
5041-9,CFAD,ADENOVIRUS
LOC_ESO,CFER,CSF Ferritin
31437-7,CFLA,INFLUENZA A
5230-8,CFLB,INFLUENZA B
21654-9,CFS,Cystic Fibrosis carrier scrn
LOC_ESOGEN,CFTR,CFTR gene
21654-9,CFTR,CFTR gene
9811-1,CGA,Chromogranin A
30169-7,CGA,Chromogranin A
62343-9,CGH,Array CGH
62343-9,CGH,Array CGH
22641-5,CGLN,CSF Glutamine
22652-2,CGLT,CSF Glutamic Acid
14744-7,CGLU,CSF glucose
14744-7,CGLU,CSF glucose
14744-7,CGLU,CSF glucose
22650-6,CGLY,CSF Glycine
21416-3,CGON,N.Gonorrohoea (NAAT)
21416-3,CGON,N.Gonorrohoea (NAAT)
21416-3,CGON,N.Gonorrohoea (NAAT)
21416-3,CGON,N.Gonorrohoea (NAAT)
4532-8,CH50,Complement CH50
4532-8,CH50,Complement CH50
45012-2,CHAB,Chlamydia Antibody Screen
45012-2,CHAB,Chlamydia Antibody Screen
45012-2,CHAB,Chlamydia Antibody Screen
14041-8,CHCG,Total Beta-hCG - CSF
14041-8,CHCG,Total Beta-hCG - CSF
786-4,CHCU,MCHC
32309-7,CHDR,Cholesterol:HDL ratio
32309-7,CHDR,Cholesterol:HDL ratio
14646-4,CHDR,Cholesterol:HDL ratio
23785-9,CHGA,CHAGAS SEROLOGY (T CRUZI ABS)
30169-7,CHGA,CHAGAS SEROLOGY (T CRUZI ABS)
56128-2,CHIK,Chikungunya Serology
56128-2,CHIK,Chikungunya Serology
9453-2,CHIS,CSF Histidine
38355-4,CHIT,Plasma Chitotriosidase
34708-8,CHLE,C.Trachomatis (NAAT)
34708-8,CHLE,C.Trachomatis (NAAT)
43844-0,CHLP,Chlamydia trachomatis PCR
43844-0,CHLP,Chlamydia trachomatis PCR
3455-3,CHLR,Clomipramine (refs)
14647-2,CHO,Cholesterol
14647-2,CHO,Cholesterol
14647-2,CHO,Cholesterol
14647-2,CHO,Cholesterol
14647-2,CHOF,Fasting Cholesterol
14647-2,CHOF,Fasting Cholesterol
14647-2,CHOL,Cholesterol
30205-9,CHP2,Chlamydia pneumoniae (IgM)
30205-9,CHP2,Chlamydia pneumoniae (IgM)
30205-9,CHP2,Chlamydia pneumoniae (IgM)
30205-9,CHP2,Chlamydia pneumoniae (IgM)
43844-0,CHPG,Chlamydia pneumoniae (IgG)
43844-0,CHPG,Chlamydia pneumoniae (IgG)
2098-2,CHPS,Cholinesterase (pseudo)
2098-2,CHPS,Cholinesterase (pseudo)
15118-3,CHR,REFERRAL TO CHRISTIES
15118-3,CHR3,Chromium - Red Cell
5619-2,CHR4,Chromium - Whole blood
15118-3,CHR5,Chromium - Whole blood
25587-7,CHRA,Chromogranin A
9811-1,CHRA,Chromogranin A
25587-7,CHRA,Chromogranin A
LOC_ESO,CHRB,Chromogranin B
LOC_ESO,CHRB,Chromogranin B
21199-5,CHRF,Chromium - Fluid
15118-3,CHRN,Chromium - Serum
15118-3,CHRO,Chromium
5619-2,CHRS,Chromium - Serum
5619-2,CHRS,Chromium - Serum
5619-2,CHRS,Chromium - Serum
15118-3,CHRS,Chromium - Serum
15118-3,CHRW,Chromium (REFS)
5619-2,CHRW,Chromium (REFS)
56128-2,CHV,Chickungunya Virus
40846-8,CHVA,CSF Homovanillic Acid
2121-2,CHYL,Chylomicrons
79339-8,CI," Interpretation :"
22659-7,CILE,CSF Isoleucine
48494-9,CINF,C1-esterase inhibitor function
4477-6,CINH,C1-esterase inhibitor (mass)
6301-6,CINR,Clinic INR
19146-0,CIS,Reference Laboratory Report
19146-0,CIS,Reference Laboratory Report
19146-0,CIS,Reference Laboratory Report
29527-9,CITR,Citalopram (Refs)
14650-6,CITX,Urine citrate output
9655-2,CJAB,Campylobacter Jejuni Ab
9655-2,CJAB,Campylobacter Jejuni Ab
9655-2,CJAB,Campylobacter Jejuni Ab
9655-2,CJAB,Campylobacter Jejuni Ab
31989-7,CJD,Protein 14.3.3 for CJD
2157-6,CK,Creatine Kinase
2157-6,CK,Creatine Kinase
2157-6,CK,Creatine Kinase
2157-6,CK,Creatine Kinase
2157-6,CK,Creatine Kinase
5912-1,CKIE,CK Isoenzymes
5912-1,CKIE,CK Isoenzymes
5912-1,CKIE,CK Isoenzymes
13969-1,CKMB,CKMB
13969-1,CKMB,CKMB
13969-1,CKMB,CKMB
13969-1,CKMB,CKMB
13969-1,CKMX,CKMB (Mass)
13969-1,CKMX,CKMB (Mass)
2075-0,CL,Chloride
2075-0,CL,Chloride
2075-0,CL,Chloride
2075-0,CL,Chloride
2075-0,CL,Chloride
2075-0,CL,Chloride
5995-6,CL1,Collagen 1.0 ug/ml
5995-6,CL4,Collagen 4.0 ug/ml
2520-5,CLA,CSF lactate
2520-5,CLA,CSF lactate
2078-4,CLCR,Urine Chloride/Creat ratio
9412-8,CLEU,CSF Leucine
3487-6,CLO1,Clobazam
LOC_ESO,CLO2,Desmethylclobazam
3494-2,CLON,CLONAZEPAM
12375-2,CLOZ,Clozapine
12375-2,CLOZ,Clozapine
14656-3,CLOZ,Clozapine
27939-8,CLTP,Type 1C N Telopeptide - NTX
10328-3,CLYM,Lyme IgM Antibodies (CSF)
22651-4,CLYS,CSF Lysine
6896-5,CLZ,Clozapine
14618-3,CMAC,MACROSCOPIC APPEARANCE
45326-6,CMAR,CMV IgG AVIDITY INDEX
6509-4,CMEN,CSF Meningococcal PCR
22648-0,CMET,CSF Methionine
5124-3,CMGR,CMV IgG Antibodies
5124-3,CMGV,Vidas CMV IgG
14638-1,CMIC,Microscopic appearance
5126-8,CMMR,CMV IgM Antibodies
5126-8,CMMV,Vidas CMV IgM
LOC_ESOGEN,CMT,Charcot Marie Tooth Syndrome
5124-3,CMV1,CMV Viral Load
29604-6,CMV1,CMV Viral Load
29604-6,CMV1,CMV Viral Load
5124-3,CMV1,CMV Viral Load
5126-8,CMV2,CMV Viral Load
5126-8,CMV2,CMV Viral Load
29604-6,CMV2,CMV Viral Load
5126-8,CMVA,CMV IgG Avidity Index
45326-6,CMVA,CMV IgG Avidity Index
5000-5,CMVD,CMV DNA
5124-3,CMVG,CMV IgG
5124-3,CMVG,CMV IgG
5124-3,CMVG,CMV IgG
5126-8,CMVM,CMV IgM
5126-8,CMVM,CMV IgM
5126-8,CMVM,CMV IgM
30326-3,CMVP,CMV PCR - BLOOD
29604-6,CMVP,CMV PCR - BLOOD
29604-6,CMVP,CMV PCR - BLOOD
72852-7,CMVR,CMV result
5000-5,CMVT,CMV PCR - Tissue
29604-6,CMVU,CMV PCR - Urine
42188-3,CNKA,CD56 CD16 (NK cells absolute)
42188-3,CNKA,CD56 CD16 (NK cells absolute)
8112-5,CNKP,CD56 CD16 (NK cells percent)
8112-5,CNKP,CD56 CD16 (NK cells percent)
8112-5,CNKP,CD56 CD16 (NK cells percent)
8112-5,CNKP,CD56 CD16 (NK cells percent)
8112-5,CNKP,CD56 CD16 (NK cells percent)
8112-5,CNKP,CD56 CD16 (NK cells percent)
LOC_IGG40,CNS2,IgG Food panel (40)
LOC_IGG200,CNS4,IgG Food Panel (200)
15119-1,COB3,Cobalt - Whole Blood
15119-1,COB3,Cobalt - Whole Blood
15119-1,COB3,Cobalt - Whole Blood
15119-1,COBA,Cobalt - Serum
34268-3,COBA,Cobalt - Serum
15119-1,COBA,Cobalt - Serum
51194-9,COBF,Cobalt - Fluid
5625-9,COBR,Cobalt - Whole Blood
14314-9,COC,"   Ecgonine"
29265-6,COCA,Cocaine
26625-4,COCC,Coccidioidomycosis ab's
26625-4,COCC,Coccidioidomycosis ab's
42216-2,COCR,Copper/creatinine ratio
29942-0,COCR,Copper/creatinine ratio
LOC_ESO,COCZ,Coccidioides CFT - Mycelial Ag
20563-3,COHB,Carboxyhaemoglobin
26625-4,COIM,Coccidioides immunodiffusion
6463-4,COIS,Isolate
14314-9,COKE,Urine cocaine
14314-9,COKE,Urine cocaine
14314-9,COKE,Urine cocaine
LOC_ESOGEN,COL5,Gene Test - Elers-Danlos
16645-4,COLB,Colistin (blood)
8098-6,COLL,Thyroglobulin Antibodies
8098-6,COLL,Thyroglobulin Antibodies
77354-9,COLO,Cologuard
77354-9,COLO,Cologuard
4485-9,COM3,Comment
4498-2,COM4,Comment
580-1,COMG,Comment:
14675-3,COMS,Comment:
1007-4,COOM,Coombs' Test
1007-4,COOM,Coombs' Test
34273-3,COPP,Copper (serum)
34273-3,COPP,Copper (serum)
34273-3,COPP,Copper (serum)
34273-3,COPP,Copper (serum)
14675-3,COR1,Cortisol (Baseline)
14675-3,COR1,Cortisol (Baseline)
14675-3,COR1,Cortisol (Baseline)
14675-3,COR1,Cortisol (Baseline)
14675-3,COR2,Cortisol (30 minutes)
14675-3,COR2,Cortisol (30 minutes)
14675-3,COR2,Cortisol (30 minutes)
14675-3,COR2,Cortisol (30 minutes)
14675-3,COR2,Cortisol (30 minutes)
14675-3,COR3,Cortisol (60 minutes)
14675-3,COR3,Cortisol (60 minutes)
14675-3,COR3,Cortisol (60 minutes)
14675-3,COR3,Cortisol (60 minutes)
14675-3,CORD,Cortisol Day Curve
22647-2,CORN,Cornelia De Lange Syndrome
41000-1,CORO,Coronavirus RNA
41001-9,CORP,Seasonal Coronavirus RNA
41001-9,CORP,Seasonal Coronavirus RNA
14675-3,CORT,Cortisol
14675-3,CORT,Cortisol
14675-3,CORT,Cortisol
14675-3,CORT,Cortisol
14675-3,CORT,Cortisol
61128-5,COT,Blood Cotinine
61128-5,COT,Blood Cotinine
12293-7,COTT,Urine Cotinine
51978-5,COXA,Coxsackie A CFT
51978-5,COXA,Coxsackie A CFT
51978-5,COXA,Coxsackie A CFT
34437-4,COXB,Coxsackie B CFT
34437-4,COXB,Coxsackie B CFT
34437-4,COXB,Coxsackie B CFT
74909-3,COXD,Calcium oxalate dihydrate
5100-3,COXM,Coxsackie/Entero IgM AB's
38252-3,COXM,Coxsackie/Entero IgM AB's
70009-6,COXM,Coxsackie/Entero IgM AB's
34589-2,CP13,ADAMTS-13 Activity FRET Method
34589-2,CP13,ADAMTS-13 Activity FRET Method
LOC_ESO,CP23,Muscle RCE Complex II+III
21613-5,CPC,Chlamydia trachomatis PCR
35729-3,CPC,Chlamydia trachomatis PCR
34708-8,CPC,Chlamydia trachomatis PCR
21613-5,CPC2,Chlamydia trachomatis DNA(PCR)
21613-5,CPC2,Chlamydia trachomatis DNA(PCR)
21613-5,CPC2,Chlamydia trachomatis DNA(PCR)
34708-8,CPCR,CSF PCR
LOC_MASK,CPCR,CSF PCR
5000-5,CPCR,CSF PCR
34708-8,CPCS,C. trachomatis (NAAT)
34708-8,CPCS,C. trachomatis (NAAT)
14633-2,CPEP,C-Peptide
14633-2,CPEP,C-Peptide
1986-9,CPEP,C-Peptide
14633-2,CPEP,C-Peptide
14633-2,CPEP,C-Peptide
14633-2,CPEP,C-Peptide
22646-4,CPHE,CSF Phenylalanine
